Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,custom_value9,custom_value7,collector_type_source,custom_value8,What type of news are you most interested in?,Article 1,Article 2,Which article would you be more likely to click on?,How interested are you in the news on a scale of 1 to 10?,Gender,Household Income,Device Type,Region,Age
,,,,,,,,,,,,,Response,,,Response,Open-Ended Response,Response,Response,Response,Response,Response
12842566513,407651576,07/24/2021 02:23:10 PM,07/24/2021 02:23:55 PM,,,,,a22d2d4c65edc5787d7d4e89c8,,,smc,,Other,Image Treatment,Text Treatment,Article 2,1,Male,"$25,000-$49,999",Android Phone / Tablet,East North Central,18-29
12842566463,407651576,07/24/2021 02:22:42 PM,07/24/2021 02:23:50 PM,,,,,a1b00701a5a46181e9d8bbbcf9,,,smc,,Business,Image Treatment,Text and Image Treatment,Article 1,10,Male,"$150,000-$174,999",iOS Phone / Tablet,East North Central,30-44
12842566439,407651576,07/24/2021 02:23:05 PM,07/24/2021 02:23:48 PM,,,,,c1753d1771df21e0ac3af86fa4,,,smc,,Tech,Control,Control,Article 2,8,Male,"$100,000-$124,999",iOS Phone / Tablet,West South Central,30-44
12842566416,407651576,07/24/2021 02:23:00 PM,07/24/2021 02:23:47 PM,,,,,ebb1235cf727b3ab4532df835a,,,smc,,Tech,Control,Text Treatment,Article 2,8,Male,"$25,000-$49,999",iOS Phone / Tablet,West North Central,30-44
12842566335,407651576,07/24/2021 02:22:58 PM,07/24/2021 02:23:40 PM,,,,,5199c28138bb3d962c603628ef,,,smc,,Other,Text and Image Treatment,Image Treatment,Article 1,4,Male,"$0-$9,999",iOS Phone / Tablet,Pacific,18-29
12842566325,407651576,07/24/2021 02:22:53 PM,07/24/2021 02:23:40 PM,,,,,8886fa0383b89bd240406c921d,,,smc,,Sports,Text and Image Treatment,Control,Article 1,3,Male,"$100,000-$124,999",Android Phone / Tablet,West South Central,30-44
12842566322,407651576,07/24/2021 02:22:56 PM,07/24/2021 02:23:40 PM,,,,,b3942ba6503e2b1978f5f99699,,,smc,,Tech,Control,Text Treatment,Article 2,5,Male,"$50,000-$74,999",iOS Phone / Tablet,Pacific,18-29
12842566276,407651576,07/24/2021 02:23:04 PM,07/24/2021 02:23:35 PM,,,,,77bd484776e563b5d01d5f1441,,,smc,,Sports,Text Treatment,Text Treatment,Article 2,7,Male,"$25,000-$49,999",Android Phone / Tablet,South Atlantic,30-44
12842566221,407651576,07/24/2021 02:22:52 PM,07/24/2021 02:23:29 PM,,,,,2e05c71e257095feaa544f6a49,,,smc,,Business,Text and Image Treatment,Text Treatment,Article 2,3,Male,"$200,000+",Android Phone / Tablet,Pacific,18-29
12842565836,407651576,07/24/2021 02:22:53 PM,07/24/2021 02:23:02 PM,,,,,8b3127370350033a653b34a00b,,,smc,,Other,Text Treatment,Control,Article 2,6,Male,"$125,000-$149,999",iOS Phone / Tablet,South Atlantic,18-29
12842565755,407651576,07/24/2021 02:22:49 PM,07/24/2021 02:22:57 PM,,,,,e9a6f6ace8b1265a91d367d2a8,,,smc,,Tech,Control,Text Treatment,Article 1,7,Male,"$100,000-$124,999",Android Phone / Tablet,Pacific,18-29
12842565722,407651576,07/24/2021 02:22:19 PM,07/24/2021 02:22:51 PM,,,,,20c2e649b1d0bf54251a40cf08,,,smc,,Tech,Text and Image Treatment,Text and Image Treatment,Article 2,3,Male,"$50,000-$74,999",Android Phone / Tablet,East North Central,30-44
12842565658,407651576,07/24/2021 02:22:26 PM,07/24/2021 02:22:49 PM,,,,,e07b4a1981a9a2e8c7692579a4,,,smc,,Art,Text Treatment,Text Treatment,Article 2,5,Male,"$75,000-$99,999",iOS Phone / Tablet,East North Central,18-29
12842565495,407651576,07/24/2021 02:22:06 PM,07/24/2021 02:22:36 PM,,,,,dd4cdc12969188f2c592ec5413,,,smc,,Sports,Text Treatment,Image Treatment,Article 2,6,Male,"$125,000-$149,999",iOS Phone / Tablet,Pacific,30-44
12842565275,407651576,07/24/2021 02:22:07 PM,07/24/2021 02:22:17 PM,,,,,728b17f89a5df3ad1f801c82a5,,,smc,,Sports,Text Treatment,Text Treatment,Article 2,4,Male,"$200,000+",iOS Phone / Tablet,South Atlantic,30-44
12842565032,407651576,07/24/2021 02:21:39 PM,07/24/2021 02:21:57 PM,,,,,02978ea4f2f3bcbc4e0ea01789,,,smc,,Tech,Control,Text and Image Treatment,Article 1,7,Male,"$50,000-$74,999",Android Phone / Tablet,South Atlantic,30-44
12842564136,407651576,07/24/2021 02:20:15 PM,07/24/2021 02:20:43 PM,,,,,20d50fdb0d2ae9d3ab845e9d4d,,,smc,,Tech,Text Treatment,Control,Article 1,5,Male,"$125,000-$149,999",Android Phone / Tablet,South Atlantic,30-44
12842557894,407651576,07/24/2021 02:11:56 PM,07/24/2021 02:12:16 PM,,,,,dae9ea1a78bb59d2d701c1f20c,,,smc,,Tech,Text Treatment,Control,Article 2,6,Male,"$100,000-$124,999",iOS Phone / Tablet,East North Central,45-60
12842551158,407651576,07/24/2021 02:02:26 PM,07/24/2021 02:03:01 PM,,,,,13ce6a1e5fbe311a3420d9832f,,,smc,,Politics,Control,Control,Article 2,8,Female,"$10,000-$24,999",Android Phone / Tablet,West South Central,45-60
12842548263,407651576,07/24/2021 01:58:19 PM,07/24/2021 01:59:07 PM,,,,,1ba3a4d43f7b7bb070b45eac3f,,,smc,,Other,Text and Image Treatment,Text Treatment,Article 2,1,Female,"$25,000-$49,999",iOS Phone / Tablet,New England,45-60
12842547281,407651576,07/24/2021 01:57:04 PM,07/24/2021 01:57:46 PM,,,,,3c5e60b3cfb187b2a1cf439dda,,,smc,,Tech,Image Treatment,Text Treatment,Article 1,5,Male,"$0-$9,999",Android Phone / Tablet,Middle Atlantic,18-29
12842545912,407651576,07/24/2021 01:55:37 PM,07/24/2021 01:56:20 PM,,,,,10df358d09360092e8b96d402c,,,smc,,None,Control,Control,Article 1,1,Male,"$125,000-$149,999",Android Phone / Tablet,Mountain,45-60
12842541162,407651576,07/24/2021 01:48:47 PM,07/24/2021 01:49:32 PM,,,,,e56d00b6edd36fcaa986f3307c,,,smc,,Politics,Text Treatment,Text Treatment,Article 2,8,Male,"$50,000-$74,999",iOS Phone / Tablet,East South Central,30-44
12842539264,407651576,07/24/2021 01:46:35 PM,07/24/2021 01:46:57 PM,,,,,d4ba230efcadcf166805766a66,,,smc,,Business,Text and Image Treatment,Control,Article 2,7,Male,"$75,000-$99,999",iOS Phone / Tablet,South Atlantic,18-29
12842538736,407651576,07/24/2021 01:45:46 PM,07/24/2021 01:46:15 PM,,,,,c78b7a028b8cfc92a71360cfbf,,,smc,,Sports,Control,Text Treatment,Article 2,10,Male,"$25,000-$49,999",iOS Phone / Tablet,East North Central,30-44
12842536146,407651576,07/24/2021 01:42:17 PM,07/24/2021 01:42:51 PM,,,,,c2494536d8b160097e452540c7,,,smc,,Sports,Image Treatment,Text Treatment,Article 2,8,Male,"$150,000-$174,999",iOS Phone / Tablet,Middle Atlantic,30-44
12842529708,407651576,07/24/2021 01:33:49 PM,07/24/2021 01:34:18 PM,,,,,e90c886c40131049a1b7b484da,,,smc,,Tech,Control,Control,Article 1,7,Male,"$100,000-$124,999",iOS Phone / Tablet,South Atlantic,30-44
